nombre,localidad,url_ficha,slug,descripcion
Bodegas Rey Fernando De Castilla,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-rey-fernando-de-castilla,bodegas-rey-fernando-de-castilla,"En las Bodegas Rey Fernando de Castilla, situadas en el casco histórico de Jerez, se almacenan verdaderos tesoros de esta famosa región vinícola. Los brandies de la casa, de una suavidad y..."
Bodegas Tradición,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-tradicion,bodegas-tradicion,"Bodegas Tradición está dedicada en exclusiva a la elaboración de los vinos de Jerez más añejos, calificados por el Consejo Regulador. Sus vinos están catalogados como V.O.S. – Very Old Sherry..."
Bodegas Williams & Humbert Sau,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-williams-humbert-sau,bodegas-williams-humbert-sau,"Desde 1877, las Bodegas Williams & Humbert se dedican a la elaboración y envejecimiento de Vinos y Brandies de Jerez. Su complejo bodeguero, Premio Nacional de Arquitectura y parte del..."
Bodegas Yuste,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-yuste,bodegas-yuste,"Ubicada en Sanlúcar de Barrameda, Bodegas Yuste es una bodega familiar que elabora vinos y destilados de primera calidad bajo la D.O. Manzanilla-Sanlúcar de Barrameda, D.O. Jerez-Xérès-Sherry,..."
Bodegas Álvaro Domecq,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/bodegas-alvaro-domecq,bodegas-alvaro-domecq,En el año 1998 Álvaro Domecq Romero adquiere las antiguas Bodegas de Pilar Aranda y comienza a vender sus vinos bajo el nombre comercial: «Álvaro Domecq S.L.». Un nuevo camino que identifica la...
Cooperativa Agrícola Virgen De Palomares,Trebujena,https://rutadelvinojerez.es/empresas-y-servicios/cooperativa-agricola-virgen-de-palomares,cooperativa-agricola-virgen-de-palomares,"La Cooperativa Agrícola Virgen de Palomares es una de las bodegas más representativas del municipio de Trebujena. Fundada en 1977, esta cooperativa ha jugado un papel fundamental en la..."
Cooperativa De Viticultores Chiclaneros,Chiclana de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/cooperativa-de-viticultores-chiclaneros,cooperativa-de-viticultores-chiclaneros,"Esta cooperativa se fundó en el año 1992, heredada de una larga tradición cooperativista que tuvo su primera experiencia en la Colonia Vitivinícola en 1884. Absorbió parte de los socios y de las..."
Covisan – Cooperativa Vitivinícola Sanluqueña,Sanlúcar de Barrameda,https://rutadelvinojerez.es/empresas-y-servicios/covisan-cooperativa-vitivinicola-sanluquena,covisan-cooperativa-vitivinicola-sanluquena,"La Cooperativa del Campo Vitivinícola Sanluqueña COVISAN se constituyó el 13 de Julio de 1968, inicialmente formada por 41 socios. Actualmente, la cooperativa tiene una producción de unos..."
Finca La Pintora,Rota,https://rutadelvinojerez.es/empresas-y-servicios/finca-la-pintora,finca-la-pintora,"Finca La Pintora es un proyecto vitivinícola familiar situado en Rota (Cádiz) dedicado a la producción de vinos ecológicos de alta calidad, con especial protagonismo de la uva Tintilla de Rota,..."
Viña El Carmen,Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/vina-el-carmen,vina-el-carmen,"Viña El Carmen se sitúa en el emblemático pago de Macharnudo, uno de los grandes referentes del viñedo del Marco de Jerez, rodeada por un paisaje de albariza y viñedo a 360 grados que define el..."
Viña La Torre,El Puerto de Santa María / Jerez de la Frontera,https://rutadelvinojerez.es/empresas-y-servicios/vina-la-torre-de-balbaina,vina-la-torre-de-balbaina,"Esta finca junto con la de Santa Lucía y Viruela forman el proyecto Viña Bilbaína. La casa de viñas data de 1717, sigue teniendo un fin agrícola aunque se complementa con un uso de actividades..."
Viñedos Bodega El Piraña,Trebujena,https://rutadelvinojerez.es/empresas-y-servicios/vinedos-bodega-el-pirana,vinedos-bodega-el-pirana,"Viñedos Bodega El Piraña es un proyecto vitivinícola situado en Trebujena que pone en valor el viñedo como origen y esencia del vino. En pleno paisaje de albariza del Bajo Guadalquivir, esta..."
